problem,run,best_fitness
N-Rainhas Valorado (N=8),1,34.4399
N-Rainhas Valorado (N=8),2,34.1422
N-Rainhas Valorado (N=8),3,34.007
N-Rainhas Valorado (N=8),4,34.038
N-Rainhas Valorado (N=8),5,34.0473
N-Rainhas Valorado (N=8),6,34.1614
N-Rainhas Valorado (N=8),7,33.6409
N-Rainhas Valorado (N=8),8,33.8988
N-Rainhas Valorado (N=8),9,33.7691
N-Rainhas Valorado (N=8),10,33.8988
N-Rainhas Valorado (N=16),1,119.83
N-Rainhas Valorado (N=16),2,120.204
N-Rainhas Valorado (N=16),3,120.523
N-Rainhas Valorado (N=16),4,119.523
N-Rainhas Valorado (N=16),5,119.751
N-Rainhas Valorado (N=16),6,120.576
N-Rainhas Valorado (N=16),7,119.18
N-Rainhas Valorado (N=16),8,120.489
N-Rainhas Valorado (N=16),9,119.148
N-Rainhas Valorado (N=16),10,120.382
N-Rainhas Valorado (N=32),1,432.02
N-Rainhas Valorado (N=32),2,432.475
N-Rainhas Valorado (N=32),3,433.336
N-Rainhas Valorado (N=32),4,430.001
N-Rainhas Valorado (N=32),5,431.933
N-Rainhas Valorado (N=32),6,432.003
N-Rainhas Valorado (N=32),7,431.853
N-Rainhas Valorado (N=32),8,-3840.23
N-Rainhas Valorado (N=32),9,431.475
N-Rainhas Valorado (N=32),10,431.635
N-Rainhas Valorado (N=64),1,-29997.1
N-Rainhas Valorado (N=64),2,1586.27
N-Rainhas Valorado (N=64),3,1582.8
N-Rainhas Valorado (N=64),4,1582.99
N-Rainhas Valorado (N=64),5,-14248.9
N-Rainhas Valorado (N=64),6,1582.82
N-Rainhas Valorado (N=64),7,1584.53
N-Rainhas Valorado (N=64),8,-30038.5
N-Rainhas Valorado (N=64),9,-14202.7
N-Rainhas Valorado (N=64),10,-14223.2
N-Rainhas Valorado (N=128),1,-352862
N-Rainhas Valorado (N=128),2,-412680
N-Rainhas Valorado (N=128),3,-353127
N-Rainhas Valorado (N=128),4,-293338
N-Rainhas Valorado (N=128),5,-53872.8
N-Rainhas Valorado (N=128),6,-233335
N-Rainhas Valorado (N=128),7,-293108
N-Rainhas Valorado (N=128),8,-233191
N-Rainhas Valorado (N=128),9,-352901
N-Rainhas Valorado (N=128),10,-591501
